LATITUDE,LONGITUDE
38.2161,-81.4795
40.796,-75.5879
40.7834,-75.6134
40.7849,-75.5993
40.7865,-75.5854
30.0045,-90.4013
30.0031,-90.391
33.4223,-110.8577
33.6709,-82.5991
33.0996,-91.326
30.5099,-87.7855
30.5074,-87.7713
29.8813,-92.063
48.8275,-106.3372
48.8148,-106.3247
48.8179,-106.3413
48.8244,-106.3206
45.7428,-111.1568
46.419,-115.8465
42.6857,-111.5958
42.6837,-111.5835
39.1069,-122.1403
39.1052,-122.1478
39.1033,-122.1242
34.3209,-117.784
26.4717,-80.568
26.5363,-80.783
26.4731,-80.5571
30.2197,-82.644
30.2183,-82.6544
30.3022,-82.719
31.013,-83.241
31.0144,-83.2307
28.6805,-82.0319
32.2052,-85.1924
29.8783,-91.5465
31.4916,-82.9141
30.941,-88.0174
30.9416,-88.0098
30.775,-91.8041
30.777,-91.7863
30.8051,-91.7187
31.9492,-85.7049
31.9581,-85.7069
31.0659,-92.3152
32.1351,-88.7326
35.1447,-79.9829
35.143,-79.9992
33.8688,-91.9176
37.2491,-83.3242
37.4363,-83.5222
37.4348,-83.5343
37.4317,-83.5581
37.4302,-83.5701
37.8252,-82.599
37.8347,-82.6008
38.0318,-82.4864
33.8733,-91.8963
33.3294,-112.9078
33.3368,-112.9234
33.3344,-112.9366
33.3442,-112.9391
34.1089,-111.2857
32.4225,-110.7523
37.3211,-119.8885
37.3143,-119.9182
37.3263,-119.8977
38.2844,-112.4101
37.7305,-121.3558
39.5979,-111.4174
39.6293,-111.2786
40.539,-111.3169
39.0184,-121.6506
39.0184,-121.6579
39.0978,-121.8462
39.0892,-121.8809
39.1067,-122.13
39.0977,-122.1658
39.2334,-121.6843
39.1823,-122.2059
39.1732,-122.242
39.1786,-122.2844
44.9718,-119.8212
43.7946,-121.5618
43.794,-121.5687
46.1877,-107.4336
46.1983,-107.4357
45.9932,-119.9277
31.3699,-88.1457
35.8952,-89.7793
35.8933,-89.791
34.262,-87.9145
33.9912,-88.5551
35.865,-85.8
35.9334,-89.7164
37.4349,-83.5265
37.5463,-83.5339
38.2853,-112.4116
43.2703,-124.1217
44.9878,-119.7691
44.985,-119.7848
44.7254,-123.8117
46.2073,-123.5012
32.1878,-102.0054
32.1974,-102.0038
48.8731,-118.28
39.9868,-74.4952
41.7903,-71.0772
39.4207,-76.1817
39.9851,-74.4838
41.7341,-71.5202
39.9939,-74.4816
37.0606,-82.3194
38.0492,-77.8221
38.0477,-77.8099
38.0311,-82.4917
37.9622,-81.7203
37.9604,-81.7009
37.949,-81.7026
37.8152,-82.2346
37.0625,-82.3403
36.1302,-77.4874
36.1287,-77.4761
36.1295,-78.6439
33.0743,-79.7794
33.0145,-79.8831
32.6502,-80.504
34.8665,-77.4741
35.8219,-79.8483
35.5499,-77.1434
29.4351,-81.2034
28.8427,-82.1618
31.7591,-83.8363
31.7573,-83.816
31.2096,-82.8509
28.366,-82.1763
28.3645,-82.1625
26.6493,-80.4809
40.4147,-99.3675
40.4163,-99.379
34.6801,-99.8995
32.1084,-97.8194
32.106,-97.8056
32.2098,-97.9851
32.0643,-98.6408
32.2132,-99.9423
47.7819,-120.3513
47.7798,-120.338
47.7711,-120.3409
47.078,-116.703
48.395,-116.2934
48.028,-117.8327
48.2502,-120.188
48.2415,-120.1912
47.1769,-116.7267
47.1737,-116.71
47.9506,-116.9972
46.0256,-119.871
46.004,-121.3806
44.7896,-116.5753
46.2415,-117.4865
47.0173,-121.0683
46.2385,-117.4705
43.3741,-121.2789
43.6244,-122.8502
43.0896,-122.9331
43.0672,-124.3455
43.0656,-124.3333
42.0132,-123.6093
40.6211,-124.0326
34.516,-78.4326
34.513,-78.4363
38.0403,-77.8154
38.6592,-75.3998
38.554,-77.5356
37.5433,-83.5252
39.4564,-75.0679
39.4192,-76.1839
39.4291,-76.187
39.6077,-75.3241
39.6421,-75.7057
40.8525,-75.8511
42.1134,-76.181
41.6613,-78.5736
42.1156,-76.1869
42.4442,-76.606
42.8561,-76.8095
43.2387,-77.2723
27.2,-98.0284
27.3918,-97.6694
30.7242,-90.0461
30.6089,-92.265
30.6075,-92.2757
30.8105,-92.2039
30.8217,-92.3269
31.5899,-97.6558
31.7753,-84.5079
31.7729,-84.5405
31.3822,-89.1915
31.387,-89.1823
31.3854,-89.1977
30.9791,-93.4603
32.3882,-84.7406
31.1425,-95.5658
32.9566,-84.7694
31.8541,-95.2267
31.9609,-95.1904
31.8011,-97.204
31.7352,-98.1742
31.8983,-97.602
32.6263,-93.5637
32.4184,-95.4133
32.4513,-97.0393
32.7968,-96.1298
32.9896,-95.4333
33.085,-95.714
33.199,-95.5137
33.1973,-95.5243
34.0299,-95.8385
33.432,-101.1703
33.4281,-101.1899
33.4378,-101.1768
36.2509,-93.9045
36.2494,-93.9157
36.4843,-93.6718
37.1908,-98.7175
40.1371,-97.1886
40.1353,-97.2
40.4156,-99.3765
41.0753,-97.0537
41.1243,-98.0098
45.5543,-96.6404
36.8303,-118.766
36.8593,-118.7553
37.1813,-120.6006
37.9529,-121.0803
40.3147,-123.8668
40.3125,-123.8798
40.6233,-124.0221
40.6211,-124.0348
40.6323,-124.0253
40.9068,-123.671
42.9161,-123.1572
44.1135,-116.1684
44.7836,-116.5544
44.7816,-116.5764
46.0142,-118.5563
46.0017,-119.9253
45.9999,-119.94
46.0064,-119.9335
47.3534,-120.6068
47.3516,-120.6216
47.1003,-123.3162
47.0459,-123.9446
47.044,-123.9574
47.1369,-123.3864
47.1351,-123.3992
48.0453,-117.9465
48.0605,-117.9572
48.2861,-118.5701
48.2963,-118.5728
48.2945,-118.5912
48.2507,-120.1723
48.2489,-120.1885
48.2471,-120.2047
47.9385,-122.7556
47.9473,-122.7583
48.3361,-120.1349
48.8895,-119.2524
48.623,-121.9688
48.7497,-122.0715
31.6198,-82.5331
40.3926,-79.8646
37.4399,-83.5154
37.8028,-82.1928
37.9514,-81.6901
37.8408,-82.2071
38.0282,-82.5161
40.3958,-79.8478
40.8367,-79.9343
31.3631,-101.7687
29.7165,-95.1313
31.3601,-101.7848
31.4034,-95.4656
33.3428,-93.7922
36.4866,-93.6649
36.2577,-93.9086
46.6506,-116.0457
48.2595,-117.0575
48.2555,-117.0471
43.377,-124.2371
43.3753,-124.2491
43.7386,-123.2361
44.348,-122.6203
44.3194,-122.8577
44.4706,-122.5802
44.6909,-123.6438
44.6714,-123.7958
42.6053,-121.411
42.6147,-121.4134
42.624,-121.4155
42.6224,-121.4298
42.6334,-121.4177
42.6317,-121.4321
43.2056,-124.2054
43.204,-124.2174
43.329,-123.4835
43.3665,-124.2469
45.8193,-121.3105
46.6638,-116.0894
46.9467,-116.5662
47.0185,-116.4591
47.5024,-116.5183
48.2571,-117.0349
48.27,-117.0357
48.4148,-116.7608
48.4133,-116.7867
48.2952,-118.5812
48.4127,-116.7666
48.3037,-118.5653
38.0533,-82.1509
38.1018,-81.4601
37.9516,-81.6852
38.032,-82.5059
38.0304,-82.4948
37.8435,-82.1853
37.8386,-82.0199
37.7899,-81.6509
36.8624,-83.4854
37.441,-83.5256
37.4499,-83.5236
37.4514,-83.5347
37.5441,-83.5317
37.5617,-83.5278
37.6967,-83.3703
37.7039,-83.3572
37.7055,-83.3683
37.7997,-82.1959
37.8296,-82.1543
37.8347,-82.1875
37.8369,-82.0088
48.269,-117.0188
43.3727,-124.2359
42.7186,-73.6618
39.4787,-85.7256
36.1233,-95.5403
34.8659,-86.9343
34.4168,-87.4249
34.5192,-87.0949
34.5207,-87.1056
32.0486,-97.7529
31.3686,-89.291
29.9185,-95.8428
46.1921,-115.8503
44.55,-115.982
45.8373,-110.8971
39.2584,-111.0332
34.2979,-119.0081
34.0409,-118.7195
34.3204,-118.9735
34.3185,-118.9496
34.3094,-118.9992
34.3075,-118.9754
34.2966,-119.0012
34.2947,-118.9772
34.2959,-118.9844
45.9882,-121.172
47.6823,-122.9306
47.6904,-122.9326
46.4333,-120.2608
46.0213,-119.9119
46.0072,-119.9195
46.0088,-119.9256
45.9789,-121.1343
43.0655,-124.3314
43.0713,-124.3575
43.064,-124.3254
43.07,-124.3514
43.0822,-124.3455
43.1996,-124.2039
43.9357,-124.038
43.9414,-124.0637
43.9349,-124.0314
43.9408,-124.0571
43.828,-121.5615
43.8706,-121.5362
44.7046,-121.9536
44.7124,-121.9861
44.6953,-121.9506
44.7035,-121.9837
43.9367,-118.4629
