DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
R1427,redacted,redacted,Shelburne Falls,R,,27,42.60366671,72.7409107,98171.7172,928862.8306,M,100
R3688,redacted,redacted,Worcester,R,,120,42.263585,71.7899003,176081.7954,890386.8639,M,100
R1508,redacted,redacted,Cambridge,R,,30,42.3736773,71.1004939,232903.891,902651.864,M,100
R2496,redacted,redacted,Ipswich,R,,45,42.68418008,70.8517239,253130.4828,937267.8518,M,100
R3689,redacted,redacted,Westminster,R,,120,42.54974874,71.8857027,168321.4117,922204.3609,M,100
R2017,redacted,redacted,Boston,R,,36,42.32215419,71.0611181,236176.361,896944.872,M,100
R2830,redacted,redacted,Boston,R,,46.5,42.3466571,71.0690856,235505.8645,899663.178,M,100
R2497,redacted,redacted,Boston,R,,45,42.35226425,71.0725576,235216.6616,900284.5535,M,100
W1,redacted,redacted,Turners Falls,W,,,42.6087949,72.5560485,113347.592,929228.1912,M,100
R3455,redacted,redacted,Boston,R,,90,42.3483641,71.0730409,235179.0121,899851.144,M,100
R463,redacted,redacted,Natick,R,,18,42.28250104,71.3804818,209857.9124,892454.219,M,100
R2018,redacted,redacted,Harwich,R,,36,41.70710987,70.0232191,322905.9195,829602.37,M,100
R1509,redacted,redacted,Marblehead,R,,30,42.5014929,70.8557952,252950.0862,916972.3688,M,100
R2405,redacted,redacted,NORTH DARTMOUTH,R,,42,41.64915306,70.9875547,242689.0966,822229.4769,M,100
R1510,redacted,redacted,Boston,R,,30,42.35677043,71.0707007,235367.1359,900785.8472,M,100
G1,redacted,redacted,Boston,G,,105,42.31877289,71.0891849,233864.6857,896557.7729,M,100
R1,redacted,redacted,Concord,R,,15,42.45651441,71.3930041,208800.8208,911781.7239,M,100
R3029,redacted,redacted,Fairhaven,R,,60,41.63813025,70.881235,251554.7602,821063.9635,M,100
R3030,redacted,redacted,Haverhill,R,,60,42.77137,71.1147431,231530.784,946822.9266,M,100
R3173,redacted,redacted,Billerica,R,,64.5,42.5407486,71.2474048,220749.1878,921163.7069,M,100
R3176,redacted,redacted,Revere,R,,66,42.41142398,70.9963223,241458.765,906890.0259,M,100
R3178,redacted,redacted,Andover,R,,67.5,42.64290368,71.2095516,223819.9525,932521.2778,M,100
R3179,redacted,redacted,Salem,R,,67.5,42.5350993,70.8871364,250347.2357,920686.3264,M,100
R3234,redacted,redacted,Centerville,R,,75,41.65715315,70.3453428,296173.9703,823640.7599,M,100
R3235,redacted,redacted,Fitchburg,R,,75,42.57265758,71.7795184,177050.854,924715.11,M,100
R3236,redacted,redacted,Mashpee,R,,75,41.62136314,70.4884316,284303.524,819514.5859,T,100
R3237,redacted,redacted,Pittsfield,R,,75,42.46780904,73.2034522,59918.8726,914429.6369,M,100
R3238,redacted,redacted,Wareham,R,,75,41.76197907,70.6742504,268666.8393,834964.9593,M,61
R3239,redacted,redacted,West Yarmouth,R,,75,41.6499504,70.2425018,304751.0217,822961.9741,M,100
R3240,redacted,redacted,SOUTH WEYMOUTH,R,,75,42.1661319,70.9552509,245013.3992,879665.4984,M,100
R3241,redacted,redacted,Worcester,R,,75,42.32533616,71.792856,175861.4897,897246.6805,M,100
R3402,redacted,redacted,Quincy,R,,82.5,42.27277122,71.027806,238952.5613,891474.3938,M,100
R3433,redacted,redacted,Bridgewater,R,,85.5,41.99601112,70.9730945,243655.6997,860761.0777,M,100
R3434,redacted,redacted,Franklin,R,,85.5,42.09040161,71.432237,205606.0712,871112.4745,M,100
R3435,redacted,redacted,Greenfield,R,,85.5,42.58707842,72.6237367,107762.0724,926887.0227,M,100
R3436,redacted,redacted,Hingham,R,,85.5,42.24800912,70.9263015,247344.3257,888775.3557,M,100
R3437,redacted,redacted,MILFORD,R,,85.5,42.15090955,71.5013196,199890.9305,877830.9741,M,100
R3438,redacted,redacted,Pembroke,R,,85.5,42.1078721,70.7697542,260396.328,873309.2581,M,100
R3439,redacted,redacted,Plymouth,R,,85.5,41.9329703,70.6588905,269756.8055,853968.2607,M,100
R3440,redacted,redacted,Springfield,R,,85.5,42.13785856,72.5831148,110462.5929,876949.8654,M,100
R3441,redacted,redacted,Springfield,R,,85.5,42.14348564,72.4878308,118346.2671,877479.2127,M,100
R3442,redacted,redacted,Taunton,R,,85.5,41.90594518,71.0690208,235758.5392,850713.0029,M,100
R3443,redacted,redacted,Tewksbury,R,,85.5,42.62058219,71.2594892,219731.5235,930028.9638,M,100
R3444,redacted,redacted,West Springfield,R,,85.5,42.13277478,72.6258669,106921.168,876431.0131,M,100
R3445,redacted,redacted,Westford,R,,85.5,42.55465251,71.4484058,204237.2279,922678.7397,M,100
R3446,redacted,redacted,Wilmington,R,,85.5,42.54038204,71.1546613,228367.6383,921149.6918,M,100
R3447,redacted,redacted,Worcester,R,,85.5,42.26661235,71.7952041,175645.3746,890724.6243,M,100
R3448,redacted,redacted,Worcester,R,,85.5,42.2391645,71.7458737,179706.3794,887662.9776,M,100
R3453,redacted,redacted,SOMERVILLE,R,,88.5,42.3944881,71.0835915,234284.7008,904970.1037,M,51
R3456,redacted,redacted,Billerica,R,,90,42.52849707,71.2570555,219960.3222,919800.4905,M,100
R3457,redacted,redacted,East Longmeadow,R,,90,42.07791621,72.5245011,115227.7761,870232.5905,M,100
R3458,redacted,redacted,Fall River,R,,90,41.69912136,71.1484493,229263.0374,827711.4098,M,100
R3459,redacted,redacted,Hudson,R,,90,42.37622183,71.5646675,194674.0861,902859.4651,M,100
R3460,redacted,redacted,Lowell,R,,90,42.6168426,71.3254466,214321.2327,929600.3887,M,100
R3461,redacted,redacted,Lynnfield,R,,90,42.5124328,71.0235776,239152.6778,918096.9701,M,100
R3462,redacted,redacted,Milford,R,,90,42.15090955,71.5013196,199890.9305,877830.9741,M,100
R3463,redacted,redacted,North Andover,R,,90,42.686389,71.1219565,230982.2561,937379.9876,M,100
R3464,redacted,redacted,North Attleboro,R,,90,41.933723,71.3517415,212295.7585,853718.6066,M,100
R3465,redacted,redacted,North Dartmouth,R,,90,41.65190697,70.9876575,242678.6896,822535.2911,M,86
R3466,redacted,redacted,Rockland,R,,90,42.16731873,70.8889492,250490.9742,879834.4387,M,100
R3467,redacted,redacted,Saugus,R,,90,42.49347411,71.0164709,239748.6426,915994.3468,M,100
R3468,redacted,redacted,Seekonk,R,,90,41.80425433,71.3308267,214058.8404,839341.9488,M,100
R3469,redacted,redacted,Stoneham,R,,90,42.49953265,71.100782,232814.7353,916631.4603,M,100
R3470,redacted,redacted,Waltham,R,,90,42.37201583,71.2499781,220592.7499,902420.437,M,100
R3471,redacted,redacted,Woburn,R,,90,42.4669757,71.1774351,226527.7467,912988.3986,M,100
R3472,redacted,redacted,Woburn,R,,90,42.50015536,71.1421627,229413.0733,916685.5361,M,100
